,Area,Branch,Address
128,강서구,화곡DT,서울특별시 강서구 등촌로 57 (화곡동)
129,강서구,가양역,서울특별시 강서구 양천로 476 (등촌동)
130,강서구,마곡GMG,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호"
131,강서구,마곡나루역,서울특별시 강서구 마곡중앙로 161-17 (마곡동)
132,강서구,방화DT,서울특별시 강서구 방화대로 375 (방화동)
133,강서구,마곡사이언스타워R,서울특별시 강서구 마곡동로 62 (마곡동)
134,강서구,우장산역,서울특별시 강서구 강서로 267 (내발산동)
135,강서구,마곡역,서울특별시 강서구 공항대로 168 (마곡동)
136,강서구,발산역사거리,서울특별시 강서구 공항대로 248 (마곡동)
137,관악구,봉천역,서울특별시 관악구 남부순환로 1730 (봉천동)
138,관악구,서울대입구역,서울특별시 관악구 남부순환로 1812 (봉천동)
139,관악구,신림타임스트림,서울특별시 관악구 신림로 330 타임스트림 1층
140,관악구,신림,서울특별시 관악구 신림로 355-1 (신림동)
141,관악구,신림사거리,서울특별시 관악구 남부순환로 1619 (신림동)
142,관악구,보라매대교,서울특별시 관악구 보라매로3길 23 (봉천동) 1층
143,관악구,사당,서울특별시 관악구 남부순환로 2082-25
144,관악구,낙성대DT,서울특별시 관악구 남부순환로 1948 (봉천동)
145,관악구,서울대역,서울특별시 관악구 남부순환로 1817 (봉천동)
146,관악구,신림DT,서울특별시 관악구 남부순환로 1419 (신림동)
147,관악구,관악서울대입구R,서울특별시 관악구 관악로 158 (봉천동)
148,관악구,낙성대역,서울특별시 관악구 남부순환로 1908 (봉천동)
149,광진구,군자사거리,서울특별시 광진구 천호대로 549 (중곡동) 1층
150,광진구,뚝섬유원지역,"서울특별시 광진구 능동로 18 (자양동, 이튼타워리버3차)"
151,광진구,자양이마트,서울특별시 광진구 아차산로 272 (자양동) 지하1층
152,광진구,중곡역,"서울특별시 광진구 능동로 400 (중곡동) 1층 108,109,110,111,112,118 6개호실"
153,광진구,건대후문,서울특별시 광진구 능동로 172 (화양동)
154,광진구,건국클래식,서울특별시 광진구 능동로 90 (자양동) 더 클래식500
155,광진구,광장,서울특별시 광진구 아차산로 537-17 (광장동)
156,광진구,구의역,서울특별시 광진구 아차산로 373 (구의동)
157,광진구,건대입구,서울특별시 광진구 능동로 107 (화양동)
158,광진구,자양,서울특별시 광진구 능동로 50 (자양동)
159,광진구,건대스타시티,서울특별시 광진구 아차산로 262 (자양동)
160,광진구,광나루,"서울특별시 광진구 아차산로 607, 1,2층 (광장동)"
161,광진구,군자역,서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩
162,광진구,자양사거리,서울특별시 광진구 아차산로 355
163,광진구,구의DT,서울특별시 광진구 광나루로 519 (구의동)
164,광진구,올림픽대교북단,서울특별시 광진구 광나루로 608 (구의동)
165,광진구,아차산역,서울특별시 광진구 천호대로 676 (구의동)
166,광진구,어린이대공원역,서울특별시 광진구 능동로 243 (군자동)
167,광진구,건국대,서울특별시 광진구 능동로 117 (화양동)
168,구로구,구로구청,"서울특별시 구로구 가마산로 232 (구로동, 스페스큐브), B101호"
169,구로구,구로오류DT,서울특별시 구로구 서해안로 2233 (오류동)
170,구로구,구로NC,서울특별시 구로구 구로중앙로 152 (구로동) 구로NC
171,구로구,구로고척,서울특별시 구로구 경인로 387 (고척동)
172,구로구,현대디큐브B2,서울특별시 구로구 경인로 662 (신도림동)
173,구로구,구로호텔,"서울특별시 구로구 디지털로32길 72, 구로호텔 1층 (구로동)"
174,구로구,현대디큐브2F,서울특별시 구로구 경인로 662 (신도림동)
175,구로구,구로하이엔드,"서울특별시 구로구 디지털로26길 5, 에이스하이엔드타워1차 103호 (구로동)"
176,구로구,구로에이스,"서울특별시 구로구 디지털로 285, 에이스트윈타워1차 103호 (구로동)"
177,구로구,구로디지털로,"서울특별시 구로구 디지털로33길 11, 에이스테크노8차 1층 (구로동)"
178,구로구,오류동역,서울특별시 구로구 경인로 216 (오류동)
179,구로구,구로디지털타워,서울특별시 구로구 디지털로32길 30 (구로동)
180,구로구,신도림,서울특별시 구로구 경인로 610 (신도림동)
181,금천구,가산현대아울렛,"서울특별시 금천구 디지털로10길 9 (가산동), 1층 일부"
182,금천구,독산역,"서울특별시 금천구 가산디지털1로 16 (가산동), 107-2, 108, 109호"
183,금천구,가산그레이트,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)"
184,금천구,가산브이타워,서울특별시 금천구 가산디지털1로 128 (가산동)
185,금천구,마리오아울렛,서울특별시 금천구 벚꽃로 266 마리오아울렛3관
186,금천구,W-Mall,서울특별시 금천구 디지털로 188 (가산동)
187,금천구,가산디지털,서울특별시 금천구 가산디지털1로 168 (가산동)
188,금천구,금천독산,서울특별시 금천구 두산로 70 (독산동)
189,금천구,가산디지털단지역,서울특별시 금천구 벚꽃로 298 (가산동)
190,금천구,금천시흥,서울특별시 금천구 시흥대로 164 (시흥동)
191,금천구,독산사거리,서울특별시 금천구 시흥대로 426 (독산동)
192,금천구,가산에스케이,서울특별시 금천구 가산디지털1로 171 (가산동)
193,금천구,금천구청역,"서울특별시 금천구 시흥대로73길 67 (시흥동)112,113,114,115호"
194,노원구,노원상계,서울특별시 노원구 동일로215길 2 (상계동)
195,노원구,태릉입구역DT,서울특별시 노원구 화랑로 469 (공릉동)
196,노원구,월계이마트,서울특별시 노원구 마들로3길 15 (월계동)
197,노원구,노원역,서울특별시 노원구 동일로 1413 (상계동) 1층
198,노원구,중계역,"서울특별시 노원구 동일로 1339, 대한빌딩 (상계동)"
199,노원구,광운대,서울특별시 노원구 석계로 104 (월계동)
200,노원구,노원KT,"서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동)"
201,노원구,은행사거리,"서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동)"
202,노원구,공릉역,서울특별시 노원구 동일로 1081 (공릉동)
203,노원구,노원마들역,"서울특별시 노원구 노원로 569 (상계동, 임광아파트)"
204,노원구,공릉DT,서울특별시 노원구 동일로 1015 (공릉동)
205,노원구,상계초교사거리,서울특별시 노원구 노원로 449 (상계동)
206,노원구,월계트레이더스,서울특별시 노원구 마들로3길 15 (월계동)
207,노원구,월계역,"서울특별시 노원구 초안산로2라길26 월계동(104,105,106호)"
208,도봉구,방학역,"서울특별시 도봉구 도봉로 684 (방학동)101,102,113,114,115호"
209,도봉구,쌍문도봉로,서울특별시 도봉구 도봉로 444 (창동)
210,도봉구,쌍문역,서울특별시 도봉구 도봉로 480 (창동)
211,도봉구,창동이마트,서울특별시 도봉구 노해로65길 4 (창동)
212,동대문구,청량리역사,서울특별시 동대문구 왕산로 214 (전농동)
213,동대문구,경희대,서울특별시 동대문구 경희대로 16-1 (회기동)
214,동대문구,장한평역,서울특별시 동대문구 장한로 10 (장안동)
215,동대문구,외대,서울특별시 동대문구 휘경로 12-1 (이문동)
216,동대문구,회기역사거리,서울특별시 동대문구 이문로 37 (회기동)
217,동대문구,신설동역,서울특별시 동대문구 왕산로 19 (신설동)
218,동대문구,외대정문,서울특별시 동대문구 이문로 93 (이문동)
219,동대문구,경희대삼거리,서울특별시 동대문구 회기로 141 (회기동)
220,동대문구,답십리역,서울특별시 동대문구 천호대로 263 (답십리동)
221,동작구,사당역,"서울특별시 동작구 동작대로 21, 양지빌딩 1-3층 (사당동)"
222,동작구,숭실대,서울특별시 동작구 사당로 4 (상도동)
223,동작구,숭실대입구역,서울특별시 동작구 상도로 354 (상도동)
224,동작구,중앙대,서울특별시 동작구 흑석로 75-1 (흑석동)
225,동작구,신대방삼거리역,서울특별시 동작구 상도로 102 (상도동)
226,동작구,노량진역,서울특별시 동작구 노량진로 134 (노량진동)
227,동작구,이수자이,서울특별시 동작구 사당로 300 (사당동 이수자이)
228,동작구,보라매공원R,"서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)"
229,동작구,상도역,서울특별시 동작구 상도로37길 1 (상도1동)
230,동작구,남성역,서울특별시 동작구 사당로 219 (사당동)
231,동작구,노량진동,"서울특별시 동작구 노량진로 190 (노량진동, 고려교육타워-어바니엘한강) 101호~105호"
232,마포구,망원한강공원,서울특별시 마포구 마포나루길 435 (망원동)
233,마포구,합정푸르지오,"서울특별시 마포구 월드컵로3길 14 (합정동, 마포 한강 2차 푸르지오)"
234,마포구,홍대역8번출구,서울특별시 마포구 양화로 166 (동교동)
235,마포구,디지털미디어시티역,서울특별시 마포구 성암로 179 (상암동)
236,마포구,아현역대로,서울특별시 마포구 신촌로 262 (아현동)
237,마포구,합정메세나몰,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)"
238,마포구,마포이마트,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트
239,마포구,망원역,서울특별시 마포구 월드컵로 74 (서교동)
240,마포구,홍대삼거리,서울특별시 마포구 와우산로 64 (상수동)
241,마포구,마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워
242,마포구,마포일진빌딩,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)"
243,마포구,상암DMC,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)"
244,마포구,애오개역,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)"
245,마포구,동교,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)"
246,마포구,홍대역,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)"
247,마포구,상암MBC,서울특별시 마포구 성암로 267 (상암동)
248,마포구,서강대,서울특별시 마포구 백범로 23 (신수동)
249,마포구,공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩
250,마포구,상수역,서울특별시 마포구 독막로 88 (상수동)
251,마포구,상암디지털큐브,서울특별시 마포구 상암산로 34
252,마포구,신촌오거리,서울특별시 마포구 신촌로16길 10 (노고산동)
253,마포구,상암사보이시티,서울특별시 마포구 월드컵북로54길 17 (상암동)
254,마포구,서교동사거리,서울특별시 마포구 양화로 105 (서교동)
255,마포구,서강대흥역,서울특별시 마포구 백범로 89-5 (대흥동)
256,마포구,합정,"서울특별시 마포구 월드컵로1길 14 (합정동) 마포한강푸르지오 110, 111, 112-2"
257,마포구,서강광흥창역,서울특별시 마포구 서강로 69 (창전동)
258,마포구,마포염리,서울특별시 마포구 독막로 311 (염리동)
259,마포구,홍대공항철도역,서울특별시 마포구 양화로 178 (동교동)
260,마포구,합정폴리스R,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)"
261,마포구,공덕,서울특별시 마포구 마포대로 130 (공덕동)
262,마포구,마포경찰서후문,서울특별시 마포구 마포대로 173-14 (아현동)
