index,Area,Branch,Address,lat,lng
160,광진구,광나루,"서울특별시 광진구 아차산로 607, 1,2층 (광장동)",37.5568778,127.1130672
161,광진구,군자역,서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩,37.5568156,127.07896
162,광진구,자양사거리,서울특별시 광진구 아차산로 355,37.5373702,127.0826398
163,광진구,구의DT,서울특별시 광진구 광나루로 519 (구의동),37.545357,127.0871714
164,광진구,올림픽대교북단,서울특별시 광진구 광나루로 608 (구의동),37.5411292,127.0952402
165,광진구,아차산역,서울특별시 광진구 천호대로 676 (구의동),37.5506271,127.0899534
166,광진구,어린이대공원역,서울특별시 광진구 능동로 243 (군자동),37.5527512,127.0767631
167,광진구,건국대,서울특별시 광진구 능동로 117 (화양동),37.5477745,127.0706455
168,구로구,구로구청,"서울특별시 구로구 가마산로 232 (구로동, 스페스큐브), B101호",37.4937463,126.8867479
169,구로구,구로오류DT,서울특별시 구로구 서해안로 2233 (오류동),37.4911149,126.8395931
170,구로구,구로NC,서울특별시 구로구 구로중앙로 152 (구로동) 구로NC,37.5031784,126.8820367
171,구로구,구로고척,서울특별시 구로구 경인로 387 (고척동),37.4970129,126.8631373
172,구로구,현대디큐브B2,서울특별시 구로구 경인로 662 (신도림동),37.5084321,126.8887332
173,구로구,구로호텔,"서울특별시 구로구 디지털로32길 72, 구로호텔 1층 (구로동)",37.4831293,126.8988591
174,구로구,현대디큐브2F,서울특별시 구로구 경인로 662 (신도림동),37.5084321,126.8887332
175,구로구,구로하이엔드,"서울특별시 구로구 디지털로26길 5, 에이스하이엔드타워1차 103호 (구로동)",37.4815733,126.8934683
176,구로구,구로에이스,"서울특별시 구로구 디지털로 285, 에이스트윈타워1차 103호 (구로동)",37.4844473,126.8944933
177,구로구,구로디지털로,"서울특별시 구로구 디지털로33길 11, 에이스테크노8차 1층 (구로동)",37.4856641,126.8955021
178,구로구,오류동역,서울특별시 구로구 경인로 216 (오류동),37.4867354,126.8352645
179,구로구,구로디지털타워,서울특별시 구로구 디지털로32길 30 (구로동),37.4833471,126.8965154
180,구로구,신도림,서울특별시 구로구 경인로 610 (신도림동),37.505003,126.883794
181,금천구,가산현대아울렛,"서울특별시 금천구 디지털로10길 9 (가산동), 1층 일부",37.4773564,126.8891438
182,금천구,독산역,"서울특별시 금천구 가산디지털1로 16 (가산동), 107-2, 108, 109호",37.4676446,126.8876698
183,금천구,가산그레이트,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)",37.4794491,126.8874768
184,금천구,가산브이타워,서울특별시 금천구 가산디지털1로 128 (가산동),37.4771592,126.8837142
185,금천구,마리오아울렛,서울특별시 금천구 벚꽃로 266 마리오아울렛3관,37.4785992,126.8851547
186,금천구,W-Mall,서울특별시 금천구 디지털로 188 (가산동),37.4773244,126.8877548
187,금천구,가산디지털,서울특별시 금천구 가산디지털1로 168 (가산동),37.4798346,126.8824997
188,금천구,금천독산,서울특별시 금천구 두산로 70 (독산동),37.4704162,126.8920672
189,금천구,가산디지털단지역,서울특별시 금천구 벚꽃로 298 (가산동),37.4813244,126.8837789
190,금천구,금천시흥,서울특별시 금천구 시흥대로 164 (시흥동),37.4488601,126.903246
191,금천구,독산사거리,서울특별시 금천구 시흥대로 426 (독산동),37.4715113,126.8987752
192,금천구,가산에스케이,서울특별시 금천구 가산디지털1로 171 (가산동),37.4806318,126.8805702
193,금천구,금천구청역,"서울특별시 금천구 시흥대로73길 67 (시흥동)112,113,114,115호",37.4568736,126.8978
194,노원구,노원상계,서울특별시 노원구 동일로215길 2 (상계동),37.6508891,127.0580818
195,노원구,태릉입구역DT,서울특별시 노원구 화랑로 469 (공릉동),37.619211,127.0792994
196,노원구,월계이마트,서울특별시 노원구 마들로3길 15 (월계동),37.62644,127.0619091
197,노원구,노원역,서울특별시 노원구 동일로 1413 (상계동) 1층,37.6547298,127.0600029
198,노원구,중계역,"서울특별시 노원구 동일로 1339, 대한빌딩 (상계동)",37.6481244,127.0621656
199,노원구,광운대,서울특별시 노원구 석계로 104 (월계동),37.6231479,127.0607009
200,노원구,노원KT,"서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동)",37.654527,127.060551
201,노원구,은행사거리,"서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동)",37.6504634,127.0759752
202,노원구,공릉역,서울특별시 노원구 동일로 1081 (공릉동),37.6304778,127.0901988
203,노원구,노원마들역,"서울특별시 노원구 노원로 569 (상계동, 임광아파트)",37.6606791,127.057048
