index,Name,Address,Brand,Gasoline_P,Diesel_P,SELF_YN,CWASH_YN,LPG_YN,MAINT_YN,CVS_YN,SEL24_YN,Area
260,'(주)홈런주유소','서울 서초구 양재대로2길 100-30 (우면동)','SOL','1798','1998','Y','Y','','N','N','Y',서초구
261,'방배동주유소','서울 서초구 효령로 29 (방배동)','SKE','1893','1991','N','Y','','N','N','N',서초구
262,'대신석유㈜서원주유소','서울 서초구 반포대로 142 (서초동)','SKE','2098','2218','N','Y','','N','N','N',서초구
263,'(주)선문에너지 중앙주유소','서울특별시 서초구  바우뫼로 219 (양재1동)','SOL','2289','2388','N','Y','','N','N','N',서초구
264,'양재최고주유소','서울 서초구 매헌로 72 (양재동)','SOL','2395','2395','N','Y','','N','N','N',서초구
265,'정호주유소','서울 성동구 고산자로 307 (마장동)','ETC','1615','1865','N','N','','N','N','N',성동구
266,'KLP제2주유소','서울 성동구 동일로 249 (송정동)','HDO','1624','1889','Y','N','','N','N','N',성동구
267,'(주)서울에너지 직영','서울 성동구 천호대로 324 (용답동)','SOL','1635','1827','Y','Y','','N','N','Y',성동구
268,'현대오일뱅크㈜직영 효진주유소','서울 성동구 동일로 129','HDO','1639','1839','N','Y','','N','N','N',성동구
269,'현대오일뱅크(주) 성동셀프주유소','서울 성동구 마장로 311 (마장동)','HDO','1659','1829','Y','Y','','N','N','N',성동구
270,'SK에너지(주) 군자동주유소','서울 성동구 천호대로 446 (용답동)','SKE','1669','1869','N','Y','','N','N','Y',성동구
271,'아이콘주유소','서울 성동구 고산자로 273 (도선동)','SOL','1678','1868','N','Y','','N','N','Y',성동구
272,'지에스칼텍스㈜ 도루코주유소','서울 성동구 아차산로 180','GSC','1683','1890','Y','Y','','Y','N','Y',성동구
273,'삼우주유소','서울 성동구 천호대로 392','SKE','1698','1883','N','Y','','N','N','N',성동구
274,'SK KH에너지 성수만세주유소','서울 성동구 왕십리로 109','SKE','1788','1978','Y','Y','','Y','Y','N',성동구
275,'SK에너지(주) 성수주유소','서울 성동구 뚝섬로 352 (성수동1가)','SKE','1789','1978','N','Y','','N','N','N',성동구
276,'SK세원2주유소','서울 성동구 광나루로 184 (성수동1가)','SKE','1805','1980','N','Y','','Y','N','N',성동구
277,'금호주유소','서울 성동구 금호로 39 (금호동4가)','GSC','1896','2043','N','N','','N','N','N',성동구
278,'동일주유소','서울 성동구 광나루로 254 (성수동2가)','HDO','1993','2165','N','Y','','N','N','N',성동구
279,'청계로주유소','서울 성동구 청계천로 454 (하왕십리동)','SKE','2098','2197','N','Y','','N','N','N',성동구
280,'(주)옥수하이웨이스테이션','서울 성동구 독서당로 168 (옥수동)','GSC','2148','2298','N','N','','N','N','N',성동구
281,'원천주유소','서울 성북구 돌곶이로 142 (장위동)','RTO','1623','1813','N','N','','N','N','N',성북구
282,'이케이에너지㈜ 강산주유소','서울 성북구 보문로 27 (보문동7가)','GSC','1625','1815','Y','Y','','N','N','Y',성북구
283,'이케이에너지(주) 강산제2주유소','서울 성북구 보국문로 52','HDO','1625','1815','Y','Y','','N','N','N',성북구
284,'(주)삼표에너지 정릉주유소','서울 성북구 보국문로 35 (정릉동)','GSC','1625','1815','Y','Y','','Y','N','N',성북구
285,'신동방주유소','서울 성북구 월계로 84 (장위동)','SOL','1634','1835','Y','N','','N','N','N',성북구
286,'SK에너지(주) 드림랜드주유소','서울 성북구 월계로 128 (장위동)','SKE','1634','1844','N','N','','N','N','N',성북구
