index,Name,Address,Brand,Gasoline_P,Diesel_P,SELF_YN,CWASH_YN,LPG_YN,MAINT_YN,CVS_YN,SEL24_YN,Area,Lat,Lng
367,㈜지에스이앤알 모드니주유소,서울 영등포구 경인로 789,GSC,1629,1856,N,Y,N,N,N,N,영등포구,37.51470339999999,126.9007821
368,(주)지에스이앤알 보라주유소,서울 영등포구 영등포로 399 (신길동),GSC,1629,1856,N,Y,N,N,N,N,영등포구,37.5134731,126.9227443
369,SK에너지(주) 신길동주유소,서울 영등포구 영등포로 348 (신길동),SKE,1649,1859,N,Y,N,N,N,N,영등포구,37.5152891,126.916973
370,SK에너지(주) 양평주유소,서울 영등포구 선유로 195 (양평동3가),SKE,1659,1879,Y,Y,N,N,N,Y,영등포구,37.5289951,126.8924107
371,(주)한미석유 제2한강주유소,서울 영등포구 선유로 260 (양평동4가),GSC,1659,1859,Y,Y,N,N,N,N,영등포구,37.5374942,126.897009
372,씨앤에스유통 한성주유소,서울 영등포구 여의대방로 227,SOL,1668,1898,N,N,N,N,N,N,영등포구,37.5071373,126.9228727
373,선유도주유소,서울 영등포구 양평로 141 (양평동5가),SOL,1674,1870,Y,Y,N,N,N,N,영등포구,37.5399253,126.8928726
374,SK에너지(주) 기린주유소,서울 영등포구 선유로 270,SKE,1679,1899,Y,Y,N,N,Y,Y,영등포구,37.5362563,126.898953
375,지에스칼텍스㈜ 화일주유소,서울 영등포구 도림로 415,GSC,1703,1911,Y,N,N,N,N,N,영등포구,37.5132173,126.8964071
376,성원이앤에스(주)영등포지점,서울 영등포구 국회대로52길 9-13 (영등포동7가),GSC,2038,2158,N,N,N,N,N,N,영등포구,37.5223774,126.9078531
377,버드나룻길주유소,서울 영등포구 버드나루로 111 (당산동),SKE,2090,2240,N,Y,N,N,N,N,영등포구,37.5279162,126.9078696
378,현대오일뱅크(주)직영 국회대로주유소,서울 영등포구 국회대로 746 (여의도동),HDO,2099,2349,N,Y,N,N,N,N,영등포구,37.5279651,126.9160136
379,KH여의도주유소,서울 영등포구 국회대로 794 (여의도동),SKE,2145,2394,N,Y,N,N,N,N,영등포구,37.5307038,126.9202903
380,SJ오일(주) 여의도주유소,서울 영등포구 은행로 64,GSC,2199,2360,N,Y,N,N,Y,Y,영등포구,37.5303375,126.9255792
381,현대오일뱅크㈜직영 강변현대주유소,서울 용산구 원효로 9 (청암동),HDO,1852,1943,N,Y,N,Y,N,N,용산구,37.5346046,126.9487786
382,현대오일뱅크㈜직영 한남동주유소,서울 용산구 한남대로 204 (한남동),HDO,1877,1889,N,Y,N,Y,N,N,용산구,37.5459042,127.0028583
383,동자동주유소,서울 용산구 한강대로104길 6 (동자동),SKE,1910,1990,N,Y,N,N,N,N,용산구,37.5502057,126.9755461
384,현대오일뱅크(주)직영 소월길주유소,서울 용산구 소월로 66 (후암동),HDO,1911,1969,N,Y,N,N,N,N,용산구,37.5505548,126.9769866
385,현대오일뱅크(주)갈월동주유소,서울특별시 용산구  한강대로 322 (남영동),HDO,1911,1989,N,Y,N,Y,N,N,용산구,37.5469552,126.9722183
386,(주)신태성주유소,서울 용산구 원효로 147 (원효로3가),SKE,2068,2360,N,Y,N,N,N,N,용산구,37.5336965,126.9561119
387,(주)영원 풍기주유소,서울 용산구 원효로 178 (원효로2가),GSC,2098,2179,N,N,N,N,N,N,용산구,37.5355412,126.9626861
388,(주)남경주유소,서울 용산구 녹사평대로11길 24,SKE,2110,2469,N,Y,N,Y,N,Y,용산구,37.5222071,126.9932366
389,한석주유소,서울 용산구 이촌로 164,SKE,2179,2622,N,Y,N,N,N,Y,용산구,37.5214212,126.9653795
390,에너비스,서울 용산구 한남대로 82 (한남동),SKE,2297,2397,N,Y,N,N,N,N,용산구,37.5359518,127.0061296
391,한남지점,서울 용산구 한남대로21길 4 (한남동),SKE,2297,2397,N,N,N,N,N,N,용산구,37.5346573,127.0060631
392,서계주유소,서울 용산구  청파로 367 (청파동),GSC,2629,2979,N,Y,N,N,N,N,용산구,37.5522895,126.9689354
393,타이거주유소,서울 은평구 수색로 188 (증산동),SKE,1634,1834,Y,Y,N,N,N,Y,은평구,37.5843431,126.9075553
